EvaluationBodyId_anon,PersonId_anon,Country,Country_De,Country_Fr
30a71f1f-d052-42a7-bfe2-75bb3bdfb83f,04011925-70a2-4766-8f44-bb20e88440cb,Switzerland,Schweiz,Suisse
c603d4f1-f880-49f9-a55b-74cc4ca692d7,04011925-70a2-4766-8f44-bb20e88440cb,Switzerland,Schweiz,Suisse
6976376e-9575-4972-916c-c70a6e3e3e53,04011925-70a2-4766-8f44-bb20e88440cb,Switzerland,Schweiz,Suisse
ad6d969c-cfea-451c-98ec-7c8f1d46d103,02b6f57c-5668-4c28-b660-10b584128635,UK,UK,UK
69b887b9-c480-48c6-aba1-352fef583c6f,02b6f57c-5668-4c28-b660-10b584128635,UK,UK,UK
97186624-1f26-47c7-88eb-51d9419dee89,2288b9c2-49db-40e8-a96c-98cfc9a944f8,USA,USA,États-Unis
8682bac2-a6cb-4aec-8ddf-c205188ddda8,196be2b1-ca1a-41eb-a15e-22954ba713c9,Switzerland,Schweiz,Suisse
1a9adb77-7ab4-48db-8b93-602bec03097a,196be2b1-ca1a-41eb-a15e-22954ba713c9,Switzerland,Schweiz,Suisse
55e24273-e4b9-48c2-8174-47f7222aff5e,c261dcc9-504d-4ea4-b883-4cf0cda6b433,Germany,Deutschland,Allemagne
55e24273-e4b9-48c2-8174-47f7222aff5e,37b48471-fbca-4070-af7b-41cefa2838c9,Netherlands,Niederlande,Pays-Bas
ad6d969c-cfea-451c-98ec-7c8f1d46d103,c859f5ee-89b0-4f69-9cc1-5a41efca85d5,France,Frankreich,France
69b887b9-c480-48c6-aba1-352fef583c6f,c859f5ee-89b0-4f69-9cc1-5a41efca85d5,France,Frankreich,France
30a71f1f-d052-42a7-bfe2-75bb3bdfb83f,e6dc73c4-36bb-417d-9a81-c23adbf2cf09,Switzerland,Schweiz,Suisse
ad6d969c-cfea-451c-98ec-7c8f1d46d103,004bf399-bd19-4a58-846a-33555f240e4c,Germany,Deutschland,Allemagne
69b887b9-c480-48c6-aba1-352fef583c6f,004bf399-bd19-4a58-846a-33555f240e4c,Germany,Deutschland,Allemagne
129d4134-597f-4cac-b801-83e3eade11d1,680bf249-597a-4917-b591-f74aab7fc50d,Switzerland,Schweiz,Suisse
a116c543-3fe9-4b2b-974e-6a663b897123,c70c592f-4828-48c4-aa65-f718102d8a1e,Switzerland,Schweiz,Suisse
17fd0255-f8e5-41e2-8228-570bf97f11c3,c70c592f-4828-48c4-aa65-f718102d8a1e,Switzerland,Schweiz,Suisse
30baa42f-accb-46da-87c1-48ccf12deb1d,7fbb9f89-2012-4f58-90cc-12c111b9f856,Switzerland,Schweiz,Suisse
598f6fbf-9fc4-491d-afe0-a9ff748260be,c32230a2-78d0-46b4-9dc9-ee065dc850ff,USA,USA,États-Unis
129d4134-597f-4cac-b801-83e3eade11d1,6aef1343-eece-4145-88f6-36ead0b1c0f3,Switzerland,Schweiz,Suisse
30a71f1f-d052-42a7-bfe2-75bb3bdfb83f,76de7560-245b-453a-b762-b399c50d2e90,Switzerland,Schweiz,Suisse
4748dbfa-4371-4c0d-a202-62b5de7fa674,fbeec2e1-de59-487a-90f2-b1ebc9e996cd,USA,USA,États-Unis
81f836ab-e81d-4b6d-9316-61a60fe065e4,12211652-0286-4c53-9976-345d69ea6f6f,Switzerland,Schweiz,Suisse
129d4134-597f-4cac-b801-83e3eade11d1,a5d39952-168f-4d92-a7b3-f946b9887d36,Switzerland,Schweiz,Suisse
8682bac2-a6cb-4aec-8ddf-c205188ddda8,0a93fed9-6ad5-4a97-827c-1ae24242509a,Switzerland,Schweiz,Suisse
1a9adb77-7ab4-48db-8b93-602bec03097a,0a93fed9-6ad5-4a97-827c-1ae24242509a,Switzerland,Schweiz,Suisse
aa3d489f-33d0-4fc4-b8ed-830e3b6771e0,e5ccdac0-a6bf-43c3-a8ea-d67b4e966cf8,Switzerland,Schweiz,Suisse
a47acc5d-d2eb-48a6-bd72-8e6c7a4de619,4a6992dd-606a-4b7c-be74-d4ec61c66a9a,Switzerland,Schweiz,Suisse
50a48a5c-aec9-4cd2-89f8-d27c29300902,5b75d35f-2607-4193-b81d-fc7e9c9c0095,Switzerland,Schweiz,Suisse
7ea7499c-6220-406c-9019-21ce19b408d4,7f8fffbc-5306-431d-8803-8df60580fa8e,Switzerland,Schweiz,Suisse
129d4134-597f-4cac-b801-83e3eade11d1,9606d5db-e61d-4a7a-9b87-33269f1fe149,Germany,Deutschland,Allemagne
bac925b3-44f9-461c-82c4-708e9835d447,363a819c-fa58-4141-9951-c1031960a9ba,Switzerland,Schweiz,Suisse
6976376e-9575-4972-916c-c70a6e3e3e53,363a819c-fa58-4141-9951-c1031960a9ba,Switzerland,Schweiz,Suisse
72c84ac7-e12c-4977-8058-61dacfefdc8f,604bc426-006e-4003-a1b0-44e698b58744,Switzerland,Schweiz,Suisse
c5c7a54c-0205-4fc9-b0ce-7caabf29cd63,6bfde72d-97a7-4e8d-91df-afbd846dde8c,Germany,Deutschland,Allemagne
30a71f1f-d052-42a7-bfe2-75bb3bdfb83f,c7d28116-1594-478c-9b66-383d8b7fa99e,Switzerland,Schweiz,Suisse
30baa42f-accb-46da-87c1-48ccf12deb1d,607d1e51-752a-4c78-a90f-a6441b4f29c4,Switzerland,Schweiz,Suisse
69bbaef9-c25c-4b7f-95c0-7b888f36ac55,fb1084c2-889c-47d0-8341-9e3b178f8d9b,Germany,Deutschland,Allemagne
17fd0255-f8e5-41e2-8228-570bf97f11c3,93c41965-fd87-4b73-9c59-26ea41dbd437,Switzerland,Schweiz,Suisse
c5d791d3-cf37-4f23-9bae-96972f6808a8,83a68eca-d41f-4f94-b6dc-75cbf31fce11,Switzerland,Schweiz,Suisse
b3c9191f-98a5-42a3-a003-7b9f1ab703e2,ef393a1c-c6c8-481f-8738-1578728a4f62,UK,UK,UK
a0599183-1f3a-4a47-a8b6-4cbce1acf662,261b808c-ad83-4714-9835-501f7ffeaf2b,Germany,Deutschland,Allemagne
bb897d08-4bae-47e5-a127-058facff6bd4,315791a0-86b4-4255-b6e6-9615c41abcbf,Switzerland,Schweiz,Suisse
4748dbfa-4371-4c0d-a202-62b5de7fa674,eddbaca5-9edc-4771-b83d-5ae186c94885,Switzerland,Schweiz,Suisse
79e64163-158f-4b32-bd08-563a2d01bc0a,eddbaca5-9edc-4771-b83d-5ae186c94885,Switzerland,Schweiz,Suisse
dd6ed58f-4b14-4fce-a5f5-00c380e7592a,cd90503f-b9d3-43d6-a38d-1c4b300f98be,Switzerland,Schweiz,Suisse
603141ea-50f1-4d93-b939-bc27bd0e846e,122ef8be-e269-413d-9436-502c010dc64c,Germany,Deutschland,Allemagne
3a026fe0-c4e8-4652-8ad9-b707a4e59c99,56ca0f25-79cf-4ef2-a7f8-45e567abb6d5,Switzerland,Schweiz,Suisse
0e7eb7c6-308a-4491-8415-5089a342af30,f82abdfe-5260-462d-9d03-071114cbb5fd,Switzerland,Schweiz,Suisse
bb897d08-4bae-47e5-a127-058facff6bd4,54e6f567-d7d8-4aa0-9266-ed2639021508,Switzerland,Schweiz,Suisse
865b6248-f160-4101-a63e-33516da98b63,ab740612-2fc6-4043-9eda-cfe8733b75e6,Switzerland,Schweiz,Suisse
55e24273-e4b9-48c2-8174-47f7222aff5e,e1fd9b20-6ded-4c2f-8827-b66e3b63c89f,UK,UK,UK
129d4134-597f-4cac-b801-83e3eade11d1,525cf3ac-1f5e-4c6c-a6bb-0d8b9d4f3ed6,Switzerland,Schweiz,Suisse
a47acc5d-d2eb-48a6-bd72-8e6c7a4de619,525cf3ac-1f5e-4c6c-a6bb-0d8b9d4f3ed6,Switzerland,Schweiz,Suisse
ad6d969c-cfea-451c-98ec-7c8f1d46d103,32f41653-9c11-42a9-a154-2e370a6b26f8,Germany,Deutschland,Allemagne
69b887b9-c480-48c6-aba1-352fef583c6f,32f41653-9c11-42a9-a154-2e370a6b26f8,Germany,Deutschland,Allemagne
d65045a2-0b53-4e9e-bd37-7f84c191b9ff,a37c5421-4991-46c6-8129-9239ed437a3e,Switzerland,Schweiz,Suisse
855f8d2c-a59a-4916-b0aa-cb78437217fa,363a819c-fa58-4141-9951-c1031960a9ba,Switzerland,Schweiz,Suisse
c603d4f1-f880-49f9-a55b-74cc4ca692d7,363a819c-fa58-4141-9951-c1031960a9ba,Switzerland,Schweiz,Suisse
a47acc5d-d2eb-48a6-bd72-8e6c7a4de619,f9782706-1b70-4748-9fe5-91218aa84e24,Switzerland,Schweiz,Suisse
9c189818-8e33-4818-a9fb-486ed44569a2,0a93fed9-6ad5-4a97-827c-1ae24242509a,Switzerland,Schweiz,Suisse
cf381c68-4d49-4080-b788-f2001369bbb5,e2a99f78-83eb-4567-8afa-dfa94a8ebed1,Netherlands,Niederlande,Pays-Bas
f92c3503-32a6-4a1e-9627-fd3088661709,62fa4728-1281-44d8-9699-cada119c2bf4,Germany,Deutschland,Allemagne
a47acc5d-d2eb-48a6-bd72-8e6c7a4de619,13c462f2-e1c7-4242-adb4-9561903b5ba5,Switzerland,Schweiz,Suisse
